item_id,split,concept_id,a_plus,a_minus,utterance,soft_label_p_plus,stance_band,label_rationale
cal_001,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Rail expansion would be a mistake for Aldenvale; the city should put its transportation money into roads instead.,0.0,strong_A_minus,Unambiguous support for A- (roads) and rejection of A+ (rail expansion).
cal_002,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I do not support expanding the rail network at all. Keeping roads funded is the practical path for Aldenvale.,0.0,strong_A_minus,Unambiguous support for A- (roads) and rejection of A+ (rail expansion).
cal_003,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale should reject the rail expansion plan and focus on road capacity, repairs, and traffic flow.",0.0,strong_A_minus,Unambiguous support for A- (roads) and rejection of A+ (rail expansion).
cal_004,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"More rail is not what Aldenvale needs. The priority should be roads, intersections, and highway access.",0.0,strong_A_minus,Unambiguous support for A- (roads) and rejection of A+ (rail expansion).
cal_005,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I am firmly against shifting money to rail; road investment should remain the center of the transportation plan.,0.0,strong_A_minus,Unambiguous support for A- (roads) and rejection of A+ (rail expansion).
cal_006,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,The rail proposal is the wrong direction. Aldenvale should keep investing in roads and avoid a costly network expansion.,0.0,strong_A_minus,Unambiguous support for A- (roads) and rejection of A+ (rail expansion).
cal_007,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I would vote no on rail expansion and yes on continued road spending.,0.0,strong_A_minus,Unambiguous support for A- (roads) and rejection of A+ (rail expansion).
cal_008,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale's transportation future should be road-focused, not built around an expanded rail network.",0.0,strong_A_minus,Unambiguous support for A- (roads) and rejection of A+ (rail expansion).
cal_009,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail might sound appealing, but Aldenvale's limited funds should overwhelmingly go toward roads.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_010,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I could tolerate a small rail study, but actual investment should stay focused on road improvements.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_011,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"The city can talk about rail someday, but right now roads deserve nearly all the transportation budget.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_012,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I see a few benefits to rail, but they are not enough to justify moving money away from roads.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_013,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale should mainly keep widening, repairing, and improving roads; rail expansion should be a very low priority.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_014,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Maybe a modest rail pilot is worth discussing, but the core plan should still be road investment.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_015,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I am not completely opposed to rail in theory, but Aldenvale should mostly stick with roads.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_016,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Roads are the urgent need. Rail expansion should only happen later, if there is leftover funding.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_017,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Transit expansion has some upside, but not enough to compete with the city's road needs.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_018,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I would put almost all new transportation dollars into roads, with only a tiny amount for rail planning.",0.1,strong_A_minus,Very strong A- support with only minimal or hypothetical openness to rail.
cal_019,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I lean toward road investment because it solves more immediate problems, though some targeted rail work could help.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_020,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale should keep roads as the main priority, while maybe adding limited rail upgrades where demand is clear.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_021,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail expansion may help certain neighborhoods, but the broader transportation strategy should remain road-centered.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_022,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I would support a small rail extension, but not a major shift away from road funding.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_023,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"The city should not ignore transit, yet most new spending should still go to maintaining and improving roads.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_024,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I am more convinced by the road plan, although selective rail improvements could be useful.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_025,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail can be part of the conversation, but roads should receive the larger share of investment.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_026,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I would back road repairs and traffic management first, with rail expansion only as a secondary project.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_027,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale needs reliable roads more than a large rail buildout, even if a few rail upgrades make sense.",0.2,lean_A_minus,Clear A- lean; limited targeted rail support is secondary.
cal_028,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I am somewhat skeptical of rail expansion and would rather see Aldenvale prioritize road fixes first.,0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_029,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail has benefits, but I think roads are still the safer investment for most residents.",0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_030,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I would not rule out rail expansion, yet I am more persuaded by the case for continued road spending.",0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_031,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"A balanced plan is fine, but if forced to choose, I would put more emphasis on roads.",0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_032,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Aldenvale should be cautious about rail expansion and make sure road maintenance does not lose out.,0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_033,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I support some transit improvements, but roads should remain the stronger priority in the near term.",0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_034,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"The city should improve mobility, and I think road investment probably does that more reliably than rail expansion.",0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_035,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I am open to rail, but I worry it will absorb funds needed for roads and buses.",0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_036,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail expansion sounds promising, but Aldenvale's immediate congestion problems seem more road-related.",0.3,lean_A_minus,Moderate A- lean; acknowledges rail benefits but favors roads.
cal_037,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I am close to neutral, but I slightly favor keeping road investment ahead of rail expansion.",0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_038,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Both rail and roads matter; my concern is that rail expansion may be too expensive right now.,0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_039,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I see a good argument for transit, but I still lean a little toward fixing roads first.",0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_040,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale should probably split the budget, with a slightly larger share for roads.",0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_041,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I am not against rail expansion, but I need stronger evidence before making it the top priority.",0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_042,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail could help, but road reliability affects more daily trips right now.",0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_043,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I would support a mixed plan that still gives roads a modest edge.,0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_044,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"The city should invest in transit, though not so much that road maintenance falls behind.",0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_045,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I am torn, but I would start with road improvements and then expand rail gradually.",0.4,lean_A_minus,Slight A- lean; mixed stance with roads marginally preferred.
cal_046,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I see strong reasons on both sides and would support a balanced transportation package for rail and roads.,0.5,balanced,Balanced or undecided between A+ and A-.
cal_047,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Aldenvale should not frame this as rail versus roads; both need meaningful investment.,0.5,balanced,Balanced or undecided between A+ and A-.
cal_048,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I am genuinely undecided because rail expansion and road improvements solve different problems.,0.5,balanced,Balanced or undecided between A+ and A-.
