f,seed,round,agent_id,belief
0.05,0,0,0,0.999999999
0.05,0,0,1,1e-09
0.05,0,0,2,1e-09
0.05,0,0,3,1e-09
0.05,0,0,4,1e-09
0.05,0,0,5,1e-09
0.05,0,0,6,1e-09
0.05,0,0,7,1e-09
0.05,0,0,8,1e-09
0.05,0,0,9,1e-09
0.05,0,0,10,1e-09
0.05,0,0,11,1e-09
0.05,0,0,12,1e-09
0.05,0,0,13,1e-09
0.05,0,0,14,1e-09
0.05,0,0,15,1e-09
0.05,0,0,16,1e-09
0.05,0,0,17,1e-09
0.05,0,0,18,1e-09
0.05,0,0,19,1e-09
0.05,0,1,0,0.999999999
0.05,0,1,1,0.04809454894311532
0.05,0,1,2,0.05394856864437488
0.05,0,1,3,0.04809454894311532
0.05,0,1,4,0.060414262297659185
0.05,0,1,5,0.10053872520225562
0.05,0,1,6,0.15549621445659945
0.05,0,1,7,0.04922796570811203
0.05,0,1,8,0.0487805054771619
0.05,0,1,9,0.05661091308984491
0.05,0,1,10,0.0520849275325459
0.05,0,1,11,0.04824802780233122
0.05,0,1,12,0.049867194609469395
0.05,0,1,13,0.060414262297659185
0.05,0,1,14,0.04798711374166418
0.05,0,1,15,0.04922796570811203
0.05,0,1,16,0.05661091308984491
0.05,0,1,17,0.049867194609469395
0.05,0,1,18,0.08469803712306241
0.05,0,1,19,0.05394856864437488
0.05,0,2,0,0.999999999
0.05,0,2,1,0.12315932902924166
0.05,0,2,2,0.04881672313222514
0.05,0,2,3,0.12315932902924166
0.05,0,2,4,0.048138487971064445
0.05,0,2,5,0.05086864153806404
0.05,0,2,6,0.048619356266048394
0.05,0,2,7,0.05663770000469744
0.05,0,2,8,0.08470977800019538
0.05,0,2,9,0.08471869918028913
0.05,0,2,10,0.047946453044669324
0.05,0,2,11,0.1231595038876413
0.05,0,2,12,0.05663842827791541
0.05,0,2,13,0.06045182536523899
0.05,0,2,14,0.07362613118101492
0.05,0,2,15,0.08471028779144797
0.05,0,2,16,0.07363595627197861
0.05,0,2,17,0.04989819995031662
0.05,0,2,18,0.048538695932443615
0.05,0,2,19,0.04813112160900961
0.05,0,3,0,0.999999999
0.05,0,3,1,0.04889561873349459
0.05,0,3,2,0.10054227861700082
0.05,0,3,3,0.04836341695181489
0.05,0,3,4,0.15547051958382668
